rndrng_prvdr_geo_lvl,rndrng_prvdr_geo_cd,StateName,hcpcs_cd,hcpcs_desc,desc,hcpcs_drug_ind,place_of_srvc,tot_rndrng_prvdrs,tot_benes,tot_srvcs,tot_bene_day_srvcs,avg_sbmtd_chrg,avg_mdcr_alowd_amt,avg_mdcr_pymt_amt,avg_mdcr_stdzd_amt,Year,filename,tot_rndrng_prvdrs_bio,tot_benes_bio,tot_srvcs_bio,tot_bene_day_srvcs_bio,avg_sbmtd_chrg_bio,avg_mdcr_alowd_amt_bio,avg_mdcr_pymt_amt_bio,avg_mdcr_stdzd_amt_bio,tot_rndrng_prvdrs_share,tot_benes_share,tot_srvcs_share,tot_bene_day_srvcs_share,ActualEarnedPremiums,NumberofLivesCovered,Total,Medigap_Share,MA_Covered,MA_Share,state_id,hcpcs_id,tot_mdcr_pymt_amt_share
State,01,ALABAMA,J9035,"Injection, bevacizumab, 10 mg",bevacizumab,Y,O,128,7580,235575,30015,116.92236,66.805061,53.019604,53.020779,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J9035,0
State,01,ALABAMA,J2505,"Injection, pegfilgrastim, 6 mg",pegfilgrastim,Y,O,80,1538,6165,6165,6214.3848,3528.3962,2810.7219,2811.9153,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J2505,0
State,01,ALABAMA,J2778,"Injection, ranibizumab, 0.1 mg",ranibizumab,Y,O,25,782,16692,3326,517.72021,382.4537,304.40387,304.40387,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J2778,0
State,01,ALABAMA,J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",epoetin alfa,Y,O,100,1108,237724,7999,23.59236,11.886146,9.3862028,9.3862028,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J0885,0
State,01,ALABAMA,J1745,"Injection infliximab, 10 mg",infliximab,Y,O,102,1044,329952,6349,95.47863,72.796059,57.945503,57.954376,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J1745,0
State,01,ALABAMA,J9355,"Injection, trastuzumab, 10 mg",trastuzumab,Y,O,73,240,97010,2519,154.69186,83.822838,66.752899,66.752899,2015,mup_phy_r19_p04_v10_d15_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J9355,0
State,01,ALABAMA,J1442,"Injection, filgrastim (g-csf), 1 microgram",filgrastim (g-csf),Y,O,68,414,1072301,2420,3.0287778,0.96210939,0.76395953,0.76395953,2015,mup_phy_r19_p04_v10_d15_geo.csv,5,17,32700,70,0.13458715,0.1191875,0.094963491,0.094963491,0.06849315,0.039443154,0.029592734,0.028112451,367694094,193821,900325,.2152789270541194,237934,.2090332692295866,ALABAMA,J1442,0.003776367
State,01,ALABAMA,J0885,"Injection, epoetin alfa, (for non-esrd use), 1000 units",epoetin alfa,Y,O,95,1016,239200,8002,23.66646,12.222308,9.6478195,9.6898947,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J0885,0
State,01,ALABAMA,J9035,"Injection, bevacizumab, 10 mg",bevacizumab,Y,O,131,7671,225627,30640,124.52331,69.223473,54.893459,56.030212,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J9035,0
State,01,ALABAMA,J9355,"Injection, trastuzumab, 10 mg",trastuzumab,Y,O,77,244,96608,2531,159.63354,88.920189,70.82074,71.220619,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J9355,0
State,01,ALABAMA,J1442,"Injection, filgrastim (g-csf), excludes biosimilars, 1 microgram",filgrastim (g-csf),Y,O,67,302,709560,1608,3.1878927,0.98520541,0.78223234,0.7857759,2016,mup_phy_r19_p04_v10_d16_geo.csv,11,110,359340,877,0.16471343,0.11046341,0.088024512,0.088796929,0.14102565,0.2669903,0.33617738,0.35291749,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J1442,0.053915568
State,01,ALABAMA,J1745,"Injection infliximab, 10 mg",infliximab,Y,O,108,1040,325051,6228,102.22042,78.384064,62.356701,64.212234,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J1745,0
State,01,ALABAMA,J2778,"Injection, ranibizumab, 0.1 mg",ranibizumab,Y,O,26,744,16640,3275,512.40643,371.44266,295.51892,299.33655,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J2778,0
State,01,ALABAMA,J2505,"Injection, pegfilgrastim, 6 mg",pegfilgrastim,Y,O,88,1459,5814,5814,6451.9385,3832.7654,3053.2615,3094.2373,2016,mup_phy_r19_p04_v10_d16_geo.csv,0,0,0,0,0,0,0,0,0,0,0,0,383325454,199358,918557,.2170338912010904,257056,.2186569900128699,ALABAMA,J2505,0
