"EJI Database Data Dictionary
Variables beginning with “E_” are estimates. Variables beginning with “EPL_” are percentile ranks for those estimates. Variables beginning with “SPL_” are summed indicator or module ranks for domains, modules, or overall scores, and variables beginning with “RPL_” are percentile ranks for domains, modules or overall scores. Values of -999 represent “null” or “no data.” Census tract boundaries are taken from 2019 TIGER/ Line Files and are based on the 2010 decennial census.",,,,,,
2022 VARIABLE NAME,2022 DESCRIPTION,MODULE,DOMAIN,DATA SOURCE,2022 TABLE FIELD CALCULATION,NOTES
STATEFP,State fips code,No value,No value,No value,No value,No value
COUNTYFP,County fips number,No value,No value,No value,No value,No value
TRACTCE,Census tract code,No value,No value,"U.S. Census Bureau 2019 TIGER/ Line Files
https://www.census.gov/geographies/mapping-files/time-series/geo/tiger-line-file.html",No value,No value
AFFGEOID,"Census tract identifier; a concatenation of current state Federal Information Processing Series (FIPS) code, county FIPS code, and census tract code",No value,No value,No value,No value,No value
GEOID,County identifier; a concatenation of current state Federal Information Processing Series (FIPS) code and county FIPS code,No value,No value,No value,No value,No value
COUNTY,County names,No value,No value,No value,No value,No value
StateAbbr,State abbreviations,No value,No value,No value,No value,No value
StateDesc,Full state name,No value,No value,No value,No value,No value
Location,"Text description of tract, county, state",No value,No value,No value,No value,No value
E_TOTPOP,"Population estimate, 2014-2018 ACS",No value,No value,No value,No value,No value
M_TOTPOP,"Population estimate MOE, 2014-2018 ACS",No value,No value,No value,No value,No value
E_DAYPOP,"Adjunct variable - Estimated daytime population, LandScan 2018",No value,No value,No value,No value,No value
SPL_EJI,"Summation of the HVM, EBI, and SVI module percentile ranks",No value,No value,No value,RPL_EBM + RPL_HVM + RPL_SVM,Tract with null values were not included in the sum.
RPL_EJI,Percentile ranks of SPL_EJI,No value,No value,No value,In Excel: PERCENTRANK.INC on SPL_EJI array with 4 significant digits,Null values removed before calculating output rank.
SPL_SER,"Summation of the EB, and SV module percentile ranks",No value,No value,No value,RPL_EBM + RPL_SVM,Tract with null values were not included in the sum.
RPL_SER,Percentile ranks of SPL_SER,No value,No value,No value,In Excel: PERCENTRANK.INC on SPL_SER array with 4 significant digits,Null values removed before calculating output rank.
EP_MINRTY,Percentage of minority persons,SVM,SVM DOM1,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table B01001H - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_MINRTY,Percentile rank of percentage of minority persons,SVM,SVI DOM1,No value,In Excel: PERCENTRANK.INC on E_MINRTY array with 4 significant digits,Null values removed before calculating output rank.
SPL_SVM_DOM1,Domain consisting of percentage of individuals who are a racial/ethnic minority,SVM,SVI DOM1,No value,EPL_MINRTY,Tract with null values were not included in the sum.
RPL_SVM_DOM1,Percentile rank of domain consisting of percentage of individuals who are a racial/ethnic minority,SVM,SVI DOM1,No value,In Excel: PERCENTRANK.INC on SPL_SVM_DOM1 array with 4 significant digits,Null values removed before calculating output rank.
EP_POV200,Percentage below 200% poverty,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table S1701 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_POV200,Percentile rank of percentage below 200% poverty,SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_POV200 array with 4 significant digits,Null values removed before calculating output rank.
EP_NOHSDP,Percentile Percentage of persons with no high school diploma (age 25+) estimate,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table S0601 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_NOHSDP,Percentile rank of percentile Percentage of persons with no high school diploma (age 25+) estimate,SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_NOHSDP array with 4 significant digits,Null values removed before calculating output rank.
EP_UNEMP,Percentage of persons who are unemployed,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table DP03 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_UNEMP,Percentile rank of percentage of persons who are unemployed,SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_UNEMP array with 4 significant digits,Null values removed before calculating output rank.
EP_RENTER,Percentage of persons who rent,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table S2502 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_RENTER,Percentile rank of percentage of persons who rent,SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_RENTER array with 4 significant digits,Null values removed before calculating output rank.
EP_HOUBDN,"Percentage of households that make less than 75,000",SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data -
Table S2503 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_HOUBDN,"Percentile rank of percentage of households that make less than 75,000",SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_HOUBDN array with 4 significant digits,Null values removed before calculating output rank.
EP_UNINSUR,Percentage of persons who are uninsured,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table S2701 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
EPL_UNINSUR,Percentile rank of percentage of persons who are uninsured,SVM,SVI DOM2,No value,In Excel: PERCENTRANK.INC on E_UNINSUR array with 4 significant digits,Null values removed before calculating output rank.
EP_NOINT,Percentage of persons without internet,SVM,SVM DOM2,"2015-2019 Census Bureau American Community Survey (ACS) 5-year Data - 
Table S2801 - 
https://www.census.gov/data/developers/data-sets/acs-5year.html",No value,No value
