StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ACCESS2_Crude95CI,DEPRESSION_CrudePrev,DEPRESSION_Crude95CI,DIABETES_CrudePrev,DIABETES_Crude95CI,OBESITY_CrudePrev,OBESITY_Crude95CI
AL,Alabama,Autauga,1001,1001020100,1775,"1,370",9.7,"( 7.4, 12.3)",26.6,"(22.7, 30.5)",13.3,"(11.4, 15.3)",39.4,"(31.9, 47.2)"
AL,Alabama,Autauga,1001,1001020200,2055,"1,584",10.6,"( 8.5, 13.0)",23.3,"(19.8, 26.9)",15.8,"(13.7, 18.0)",44.7,"(36.6, 52.3)"
AL,Alabama,Autauga,1001,1001020300,3216,"2,485",10.6,"( 8.4, 13.1)",26.3,"(22.6, 30.2)",13.9,"(12.0, 15.9)",40.3,"(32.7, 47.7)"
AL,Alabama,Autauga,1001,1001020400,4246,"3,344",7.9,"( 6.1, 10.1)",24.9,"(21.2, 28.7)",12.8,"(10.9, 14.9)",36.9,"(29.6, 44.5)"
AL,Alabama,Autauga,1001,1001020501,4322,"3,369",6.2,"( 4.7,  7.8)",24,"(20.4, 27.8)",10.2,"( 8.7, 11.9)",34.7,"(27.7, 42.0)"
AL,Alabama,Autauga,1001,1001020502,3284,"2,382",7.5,"( 5.9,  9.2)",25,"(21.4, 28.7)",10,"( 8.6, 11.5)",38.2,"(30.9, 45.5)"
AL,Alabama,Autauga,1001,1001020503,3616,"2,769",8.1,"( 6.3, 10.0)",25.4,"(21.7, 29.2)",11.8,"(10.2, 13.6)",38.1,"(30.7, 45.4)"
AL,Alabama,Autauga,1001,1001020600,3729,"2,768",10.3,"( 8.3, 12.4)",25.9,"(22.1, 29.7)",13.5,"(11.7, 15.5)",40.7,"(33.0, 48.1)"
AL,Alabama,Autauga,1001,1001020700,3409,"2,580",10.2,"( 8.1, 12.5)",27.5,"(23.7, 31.4)",14,"(12.2, 16.0)",42.6,"(34.8, 50.3)"
AL,Alabama,Autauga,1001,1001020801,3143,"2,377",7.4,"( 5.9,  9.2)",25.7,"(22.0, 29.6)",12.8,"(11.0, 14.6)",38.4,"(31.1, 45.9)"
AL,Alabama,Autauga,1001,1001020803,4635,"3,475",11.4,"( 9.3, 13.6)",27.9,"(24.0, 32.0)",16.4,"(14.3, 18.7)",44.2,"(36.3, 52.1)"
AL,Alabama,Autauga,1001,1001020804,6064,"4,291",5.7,"( 4.6,  6.9)",23.4,"(20.0, 27.0)",8.9,"( 7.7, 10.2)",34.6,"(27.7, 42.0)"
AL,Alabama,Autauga,1001,1001020805,3122,"2,341",7.1,"( 5.9,  8.4)",25.6,"(21.9, 29.4)",11.1,"( 9.6, 12.8)",36.9,"(29.6, 44.3)"
AL,Alabama,Autauga,1001,1001020901,3268,"2,399",9,"( 7.4, 10.9)",27.3,"(23.5, 31.4)",11.8,"(10.1, 13.5)",38.9,"(31.4, 46.5)"
AL,Alabama,Autauga,1001,1001020902,3091,"2,369",8.6,"( 7.1, 10.1)",24.8,"(21.2, 28.5)",13.1,"(11.4, 14.9)",39.4,"(32.1, 47.0)"
AL,Alabama,Autauga,1001,1001021000,2645,"2,047",11.2,"( 9.3, 13.3)",27.5,"(23.7, 31.5)",16.4,"(14.4, 18.6)",43.7,"(36.0, 51.5)"
AL,Alabama,Autauga,1001,1001021100,3185,"2,573",12.2,"(10.4, 14.3)",24.4,"(20.8, 28.0)",22,"(19.5, 24.6)",49.1,"(41.1, 56.8)"
AL,Alabama,Baldwin,1003,1003010100,3745,"2,991",10.6,"( 9.0, 12.4)",23.8,"(20.6, 27.3)",17.5,"(15.5, 19.7)",40.1,"(34.3, 46.0)"
AL,Alabama,Baldwin,1003,1003010200,3000,"2,307",8.9,"( 7.2, 10.9)",24.3,"(21.0, 27.8)",13.1,"(11.5, 15.1)",36.3,"(30.8, 42.1)"
AL,Alabama,Baldwin,1003,1003010300,8380,"6,594",8.9,"( 7.3, 10.7)",23,"(19.8, 26.3)",14.5,"(12.7, 16.4)",37.3,"(31.7, 43.0)"
AL,Alabama,Baldwin,1003,1003010400,5722,"4,419",11.8,"( 9.9, 13.9)",25.2,"(21.8, 28.9)",15.6,"(13.7, 17.6)",38.6,"(33.0, 44.4)"
AL,Alabama,Baldwin,1003,1003010500,4850,"3,957",10.4,"( 8.1, 12.9)",23.6,"(20.4, 27.2)",14.4,"(12.6, 16.6)",37.2,"(31.7, 43.3)"
AL,Alabama,Baldwin,1003,1003010600,3234,"2,356",15.7,"(13.3, 18.6)",25,"(21.7, 28.7)",23.7,"(21.4, 26.3)",51.2,"(45.4, 57.3)"
AL,Alabama,Baldwin,1003,1003010704,5307,"4,083",6.2,"( 4.9,  7.9)",22.5,"(19.3, 26.0)",10.4,"( 8.8, 12.1)",32.5,"(27.4, 38.3)"
AL,Alabama,Baldwin,1003,1003010706,4038,"3,157",5.9,"( 4.8,  7.2)",21.7,"(18.6, 24.8)",11.9,"(10.2, 13.6)",32.4,"(27.2, 37.8)"
AL,Alabama,Baldwin,1003,1003010707,4994,"3,866",5.6,"( 4.4,  7.1)",21.3,"(18.3, 24.6)",10.3,"( 8.8, 11.9)",30.4,"(25.4, 35.7)"
AL,Alabama,Baldwin,1003,1003010708,11585,"8,323",7.7,"( 6.5,  9.3)",23.6,"(20.4, 27.0)",10.4,"( 9.0, 11.8)",34.6,"(29.2, 40.2)"
AL,Alabama,Baldwin,1003,1003010709,11650,"8,381",5.6,"( 4.6,  7.1)",22,"(18.8, 25.4)",10.6,"( 9.2, 12.1)",32.9,"(27.5, 38.3)"
AL,Alabama,Baldwin,1003,1003010710,6156,"4,731",6.9,"( 5.5,  8.6)",22.8,"(19.7, 26.2)",11.2,"( 9.6, 12.9)",34.5,"(29.2, 40.2)"
AL,Alabama,Baldwin,1003,1003010711,4230,"3,380",7.9,"( 6.1, 10.0)",23.1,"(19.9, 26.7)",10.8,"( 9.2, 12.4)",33.7,"(28.4, 39.4)"
AL,Alabama,Baldwin,1003,1003010800,7807,"6,208",7.1,"( 5.6,  9.0)",21,"(18.1, 24.0)",12.8,"(11.1, 14.6)",33.7,"(28.5, 39.2)"
AL,Alabama,Baldwin,1003,1003010903,6599,"5,121",10.1,"( 8.3, 12.2)",23.5,"(20.3, 27.0)",13.2,"(11.6, 15.0)",38.9,"(33.4, 45.0)"
AL,Alabama,Baldwin,1003,1003010904,7747,"6,014",9,"( 7.1, 11.0)",24,"(20.8, 27.6)",13.2,"(11.4, 15.1)",35.9,"(30.3, 41.7)"
AL,Alabama,Baldwin,1003,1003010906,4754,"3,625",13,"(10.9, 15.4)",25.3,"(21.8, 28.9)",15.8,"(13.8, 17.9)",39.4,"(33.7, 45.3)"
AL,Alabama,Baldwin,1003,1003010907,4081,"3,169",8.5,"( 7.1, 10.1)",23.1,"(19.8, 26.4)",11.6,"(10.0, 13.3)",34.4,"(29.0, 40.0)"
AL,Alabama,Baldwin,1003,1003010908,5979,"4,330",10.5,"( 8.9, 12.2)",25.1,"(21.8, 28.7)",11.1,"( 9.6, 12.7)",36,"(30.4, 41.9)"
AL,Alabama,Baldwin,1003,1003011000,5459,"4,265",12.8,"(10.4, 15.2)",24.8,"(21.5, 28.3)",16,"(14.0, 18.2)",38.8,"(33.1, 44.7)"
AL,Alabama,Baldwin,1003,1003011102,5684,"4,189",7,"( 5.4,  8.8)",22.8,"(19.8, 26.3)",11.5,"( 9.9, 13.3)",33.6,"(28.4, 39.1)"
AL,Alabama,Baldwin,1003,1003011103,3523,"2,695",6.7,"( 5.4,  8.3)",23.2,"(20.1, 26.6)",12.3,"(10.7, 14.2)",34.7,"(29.4, 40.4)"
AL,Alabama,Baldwin,1003,1003011104,7875,"6,163",7.5,"( 5.6,  9.5)",21.6,"(18.6, 25.1)",13,"(11.2, 15.1)",32.9,"(27.7, 38.5)"
AL,Alabama,Baldwin,1003,1003011201,4895,"3,980",6.1,"( 4.6,  7.8)",21,"(18.0, 24.4)",13.4,"(11.4, 15.8)",31.6,"(26.3, 37.4)"
AL,Alabama,Baldwin,1003,1003011202,6773,"5,511",6.3,"( 4.8,  8.3)",20.5,"(17.7, 23.7)",13.7,"(11.8, 15.9)",33,"(27.7, 38.5)"
AL,Alabama,Baldwin,1003,1003011300,5170,"4,229",6.5,"( 4.9,  8.5)",21.5,"(18.5, 24.8)",13.4,"(11.5, 15.5)",33.2,"(27.9, 38.9)"
AL,Alabama,Baldwin,1003,1003011409,5915,"4,487",9.1,"( 7.6, 10.9)",22.8,"(19.6, 26.1)",13,"(11.2, 14.8)",36.2,"(30.8, 42.0)"
AL,Alabama,Baldwin,1003,1003011410,7483,"6,074",9.3,"( 7.8, 11.3)",23.3,"(20.1, 26.9)",14.9,"(13.0, 17.1)",36.5,"(30.9, 42.5)"
AL,Alabama,Baldwin,1003,1003011411,5666,"4,593",11.7,"( 9.9, 13.7)",23.6,"(20.5, 27.1)",14.8,"(13.0, 16.8)",37.5,"(32.0, 43.3)"
AL,Alabama,Baldwin,1003,1003011412,4041,"3,276",7.7,"( 6.3,  9.4)",23.2,"(20.1, 26.5)",12.1,"(10.4, 13.8)",34.4,"(29.1, 39.9)"
AL,Alabama,Baldwin,1003,1003011413,3982,"3,282",6.5,"( 4.9,  8.4)",22.1,"(18.9, 25.4)",12.3,"(10.4, 14.3)",32.1,"(26.8, 37.6)"
AL,Alabama,Baldwin,1003,1003011414,3461,"2,904",5.2,"( 3.8,  6.9)",21.4,"(18.3, 24.9)",11.7,"( 9.8, 13.7)",31.7,"(26.4, 37.6)"
AL,Alabama,Baldwin,1003,1003011415,2019,"1,849",4.1,"( 3.2,  5.1)",19.5,"(16.7, 22.7)",13.2,"(11.3, 15.3)",30.6,"(25.5, 36.3)"
AL,Alabama,Baldwin,1003,1003011416,1714,"1,525",5,"( 3.8,  6.4)",20.8,"(17.9, 24.1)",14.1,"(11.9, 16.6)",32.9,"(27.7, 38.7)"
AL,Alabama,Baldwin,1003,1003011417,2525,"2,029",5.7,"( 4.4,  7.4)",22.9,"(19.7, 26.4)",10.6,"( 9.0, 12.3)",32.8,"(27.4, 38.4)"
AL,Alabama,Baldwin,1003,1003011418,1773,"1,542",7.4,"( 5.8,  9.6)",23,"(19.8, 26.5)",12.7,"(11.0, 14.7)",34.5,"(29.0, 40.1)"
AL,Alabama,Baldwin,1003,1003011419,5154,"4,481",6.2,"( 4.9,  7.8)",21.5,"(18.4, 25.0)",14.8,"(12.6, 17.1)",33.8,"(28.4, 39.7)"
